"scenario","granularity","measure","n_cells","n_firms_mean","mean_log_gap","ratio_x","median_log_gap","mean_gini","mean_var_log"
"s1","4d","e_rev",311,6,1.73,5.639,1.293,0.344,1.388
"s1","4d","e_cost",306,6,1.585,4.879,1.324,0.33,1.167
"s1","4d","nu",7577,281,2.515,12.365,2.461,0.505,1.439
"s1","2d","e_rev",212,12,2.626,13.822,2.534,0.467,2.219
"s1","2d","e_cost",208,12,2.589,13.316,2.493,0.452,2.285
"s1","2d","nu",1150,1851,2.762,15.829,2.708,0.554,1.584
"s2","4d","e_rev",3749,13,3.394,29.774,3.324,0.564,3.392
"s2","4d","e_cost",3743,13,3.431,30.906,3.367,0.569,3.447
"s2","4d","nu",7577,281,2.594,13.388,2.523,0.594,1.649
"s2","2d","e_rev",915,56,4.299,73.613,4.241,0.699,4.211
"s2","2d","e_cost",914,56,4.333,76.158,4.278,0.699,4.239
"s2","2d","nu",1150,1851,2.773,16,2.702,0.67,1.727
