"nace2d","em_share","t1","t2","n_survivors","n_entrants","n_exiters","pct_total","pct_within","pct_realloc","pct_entry","pct_exit"
"10",1.65,2005,2010,23,4,0,-28.26,-26.58,-2.74,1.06,0
"10",1.65,2006,2011,20,6,3,-16.44,-25.39,1.54,2.45,4.95
"10",1.65,2007,2012,20,6,2,-9.47,-36.64,15.73,6.91,4.53
"10",1.65,2008,2013,20,5,6,-5.93,-42.18,24.74,9.21,2.3
"10",1.65,2009,2014,23,2,3,-8.07,-16.47,5.37,3.19,-0.15
"10",1.65,2010,2015,23,2,4,-20.51,-5.43,-13.42,-3,1.34
"10",1.65,2011,2016,23,2,3,-12.69,11.39,-25.92,1.41,0.43
"10",1.65,2012,2017,18,2,8,-9.97,16.63,-40.04,2.69,10.75
"10",1.65,2013,2018,20,1,5,-16.95,27.65,-46.32,0.96,0.76
"10",1.65,2014,2019,19,1,6,-9.01,41.97,-54.28,0.92,2.38
"10",1.65,2015,2020,20,1,5,9.64,37.33,-33.68,1.46,4.54
"10",1.65,2016,2021,21,0,4,-9.17,12.8,-20.94,0,-1.03
"17",1.38,2005,2010,6,1,3,11.6,-21.49,25.14,0.06,7.9
"17",1.38,2006,2011,6,1,3,15.38,-11.4,20.13,-0.84,7.49
"17",1.38,2007,2012,7,0,3,42.07,-45,79.34,0,7.73
"17",1.38,2008,2013,7,0,1,28.72,-7.44,36.31,0,-0.15
"17",1.38,2009,2014,7,0,0,14.87,-15.22,30.09,0,0
"17",1.38,2010,2015,7,0,0,4.66,-0.2,4.86,0,0
"17",1.38,2011,2016,7,0,0,5.49,8.39,-2.89,0,0
"17",1.38,2012,2017,6,0,1,-6.85,-17.76,11.13,0,-0.22
"17",1.38,2013,2018,6,0,1,-1.06,-2.04,3.76,0,-2.77
"17",1.38,2014,2019,6,0,1,10.18,16.1,-3.61,0,-2.32
"17",1.38,2015,2020,6,0,1,4.24,14.5,-7.94,0,-2.33
"17",1.38,2016,2021,6,0,1,-15.38,-15.79,2.36,0,-1.95
"19",10.95,2005,2010,5,0,0,15.67,30.54,-14.88,0,0
"19",10.95,2006,2011,4,0,1,0.88,30.36,-20.68,0,-8.79
"19",10.95,2007,2012,3,2,2,29.64,231.59,-200.16,6.51,-8.3
"19",10.95,2008,2013,3,2,3,2.37,-134.39,136.07,9.07,-8.39
"19",10.95,2009,2014,3,1,2,-3.08,124.95,-127.42,7.62,-8.23
"19",10.95,2010,2015,3,1,2,-5.83,-242.11,238.4,5.73,-7.85
"19",10.95,2011,2016,3,1,1,21.13,-66.21,81.4,5.85,0.09
"19",10.95,2012,2017,4,0,1,2.07,-1087.02,1089.21,0,-0.12
"19",10.95,2013,2018,4,0,1,5.77,-817.14,823.1,0,-0.19
"19",10.95,2014,2019,4,0,0,42.23,-1124.5,1166.72,0,0
"19",10.95,2015,2020,4,0,0,76.29,-36.45,112.75,0,0
"19",10.95,2016,2021,4,0,0,54.07,-213.46,267.53,0,0
"20",8.55,2005,2010,27,10,5,99.73,160.89,-62.27,5.33,-4.23
"20",8.55,2006,2011,29,10,2,100.27,113.37,-15.56,5.79,-3.33
"20",8.55,2007,2012,30,9,2,108.3,171.91,-62.66,2,-2.96
"20",8.55,2008,2013,30,14,3,66.78,137.02,-52.03,-17.24,-0.96
"20",8.55,2009,2014,36,12,2,39.46,79.02,-35.66,-2.07,-1.82
"20",8.55,2010,2015,34,15,3,44.19,70.39,-7.39,-13.31,-5.5
"20",8.55,2011,2016,35,14,4,50.07,188.25,-124.5,-12.82,-0.86
"20",8.55,2012,2017,34,14,5,45.34,52.67,5.54,-13.9,1.02
"20",8.55,2013,2018,41,9,3,3.77,-7.31,17.75,-8.74,2.07
