"t1","t2","n_survivors","n_entrants","n_exiters","pct_total","pct_within","pct_realloc","pct_entry","pct_exit"
2005,2010,131,32,31,-16.86,13.58,-36.56,2.08,4.04
2006,2011,129,35,33,-14.93,21.78,-41.84,3.5,1.62
2007,2012,129,35,33,-4.37,19.38,-31.37,6.16,1.46
2008,2013,135,39,28,-5.25,-62478.56,62468.7,4.83,-0.22
2009,2014,137,34,26,-4.48,-3682.66,3676.73,1.96,-0.52
2010,2015,133,35,30,-1.8,25.87,-26.82,4.88,-5.73
2011,2016,134,32,30,9.11,-260.42,266.85,0.45,2.23
2012,2017,130,30,34,6.25,-24.62,28.16,-0.48,3.17
2013,2018,146,13,28,-4.68,-28.33,21.86,-0.06,1.86
2014,2019,149,10,22,4.27,114.57,-111.42,-0.69,1.82
2015,2020,150,10,18,-2.26,-1.25,-0.13,1.23,-2.11
2016,2021,150,6,16,-20.18,2238.21,-2256.08,-0.08,-2.22
