"rule","n_targeted","dlogZ","technique","scale","composition","pct_gain_captured"
"intensity",545,-0.493378177829451,-0.341097655725702,-0.029149597730917,-0.123130924372831,127.46462716596
"upstream_psiE",408,-0.49139935722463,-0.340812102321575,-0.0286809598345131,-0.121906295068542,122.31440109411
"centrality",91,-0.48282571481491,-0.335105514337808,-0.0284414504934267,-0.119278749983676,100
"emissions",78,-0.448435896463667,-0.30581973218183,-0.0282606782566602,-0.114355486025177,10.4944942218157
"actual_ets",214,-0.44440370037876,-0.303674644467774,-0.0280622150959468,-0.11266684081504,0
"upstream_1layer",773,-0.429859544912045,-0.28729432715294,-0.0290671391877984,-0.113498078571307,-37.8537036127668
"downstream",614,-0.395480162991543,-0.259318334769363,-0.0294568184456102,-0.10670500977657,-127.332046758031
"size",450,-0.38224894367264,-0.248268681705371,-0.0287836366528509,-0.105196625314418,-161.768604843475
"domar",450,-0.38224894367264,-0.248268681705371,-0.0287836366528509,-0.105196625314418,-161.768604843475
"out_degree",1273,-0.347242679572101,-0.229513745662484,-0.0265933690665949,-0.091135564843022,-252.878518298721
