"scheme","p_z","sigma_B","sigma_W","rho","alpha","dlogZ","scale","technique","composition","realGDP","mean_price"
"actual_ets",80,0.1,2.5,0.7,2,-0.278620529001451,-0.00668006838496105,-0.14147965367814,-0.13046080693835,-0.00119553960955089,1.00363499196856
"actual_ets",100,0.1,2.5,0.7,2,-0.354004151070243,-0.00807435937883039,-0.202723222431794,-0.143206569259619,-0.00149830560937254,1.00430962895465
"actual_ets",150,0.1,2.5,0.7,2,-0.464692048521909,-0.011233559451292,-0.28523533532595,-0.168223153744667,-0.00216212143877484,1.00573440588067
"actual_ets",200,0.1,2.5,0.7,2,-0.551765716609019,-0.0140167658994066,-0.349103492690857,-0.188645458018755,-0.00277310758065049,1.0069071607184
"actual_ets",250,0.1,2.5,0.7,2,-0.622458005852877,-0.0165313023579734,-0.400527800988583,-0.20539890250632,-0.00332755846071273,1.00792617228762
"universal_industrial",80,0.1,2.5,0.7,2,-0.283830690245333,-0.00639594625037698,-0.142889112060595,-0.134545631934361,-0.00122315907331102,1.00424875032433
"universal_industrial",100,0.1,2.5,0.7,2,-0.360342513934871,-0.00773658130306831,-0.204697049624921,-0.147908883006882,-0.00153299838421317,1.00504936239995
"universal_industrial",150,0.1,2.5,0.7,2,-0.472949643647605,-0.0107831306859622,-0.287920464734296,-0.174246048227347,-0.00221026024029928,1.00676599015032
"universal_industrial",200,0.1,2.5,0.7,2,-0.562286508851311,-0.0134693382417996,-0.352934793147949,-0.195882377461562,-0.00283218819941772,1.00820821388554
"universal_industrial",250,0.1,2.5,0.7,2,-0.635604204834271,-0.0158961454709454,-0.405935620090606,-0.21377243927272,-0.00339584512078734,1.00947700361881
"centrality",80,0.1,2.5,0.7,2,-0.319459181581739,-0.00658277665007934,-0.157075572138167,-0.155800832793493,-0.00140440247547999,1.00572329443103
"centrality",100,0.1,2.5,0.7,2,-0.403924463963945,-0.00796123190262654,-0.224080154262209,-0.171883077799109,-0.00176850730861691,1.00674862953368
"centrality",150,0.1,2.5,0.7,2,-0.532401797707458,-0.0110855903250883,-0.317407685560249,-0.203908521822121,-0.00257563425762513,1.00894245408677
"centrality",200,0.1,2.5,0.7,2,-0.636907873668354,-0.0138292039344121,-0.393034888674681,-0.230043781059261,-0.00331345172913817,1.01077347183787
"centrality",250,0.1,2.5,0.7,2,-0.722252734304352,-0.0163012614001176,-0.454204096729913,-0.25174737617432,-0.00398170989047419,1.01237480822547
